name,full_name,age,date_of_birth,place_of_birth,nationality,height_cm,foot,current_club,position,shirt_number,joined_club,contract_until,market_value,max_market_value,matches_played,goals,assists,minutes_played,yellow_cards,red_cards,error
Florent Hanin,Florent Olivier Sylvain Hanin,36,04/02/1990,Le Havre,France,177,left,Angers SCO,Defender - Left-Back,26,31/07/2023,30/06/2026,€250k,,,,,,,,
Dan Sinaté,,19,09/06/2006,Chambray-lès-Tours,"Mali, France",181,left,Angers SCO,Defender - Left-Back,23,01/07/2025,30/06/2029,,,,,,,,,
Carlens Arcus,Carlens Jean Fedlaire Ruby Arcus,29,28/06/1996,Port-au-Prince,Haiti,176,right,Angers SCO,Defender - Right-Back,2,01/07/2024,30/06/2026,€1.80m,,,,,,,,
Lilian Raolisoa,,25,16/06/2000,Angers,"France, Madagascar",178,right,Angers SCO,Defender - Right-Back,27,01/07/2023,30/06/2028,€1.80m,,,,,,,,
Marius Louër,,18,11/03/2007,Saint-Herblain,France,181,right,Angers SCO,Defender - Right-Back,20,01/07/2025,30/06/2028,€100k,,,,,,,,
Marius Courcoul,,19,01/01/2007,Château-Gontier,France,182,right,Angers SCO,Midfield - Defensive Midfield,5,01/02/2025,30/06/2026,€700k,,,,,,,,
Yassin Belkhdim,ياسين بلخديم,24,14/02/2002,Meulan-en-Yvelines,"Morocco, France",175,right,Angers SCO,Midfield - Central Midfield,14,01/01/2024,30/06/2028,€4.00m,,,,,,,,
Branco van den Boomen,,30,21/07/1995,Veldhoven,Netherlands,188,right,Angers SCO,Midfield - Central Midfield,8,21/01/2026,30/06/2026,€2.50m,,,,,,,,
Haris Belkebla,هاريس بلقبلة,32,28/01/1994,Drancy,"Algeria, France",177,right,Angers SCO,Midfield - Central Midfield,93,17/08/2024,30/06/2026,€2.00m,,,,,,,,
Pierrick Capelle,,38,15/04/1987,Lesquin,France,181,left,Angers SCO,Midfield - Central Midfield,15,01/07/2015,30/06/2026,€200k,,,,,,,,
Louis Mouton,,23,03/06/2002,Saint-Priest-en-Jarez,France,180,right,Angers SCO,Midfield - Attacking Midfield,6,01/07/2025,30/06/2028,€2.50m,,,,,,,,
Amine Sbaï,محمد أمين سباعي,25,05/11/2000,Sidi Kacem,"Morocco, France",175,right,Angers SCO,Attack - Left Winger,7,08/10/2025,30/06/2027,€1.50m,,,,,,,,
Harouna Djibirin,,19,05/11/2006,Yaoundé,Cameroon,175,left,Angers SCO,Attack - Right Winger,31,01/07/2025,30/06/2029,€200k,,,,,,,,
Prosper Peter,,18,09/08/2007,Paris,"France, Nigeria",188,right,Angers SCO,Attack - Centre-Forward,35,01/07/2025,30/06/2027,€5.00m,,,,,,,,
Goduine Koyalipou,,26,15/02/2000,Bangui,"Central African Republic, France",184,right,Angers SCO,Attack - Centre-Forward,9,29/01/2026,30/06/2026,€2.50m,,,,,,,,
Lanroy Machine,,20,13/10/2005,Saint-Laurent-du-Maroni,"France, French Guiana",183,right,Angers SCO,Attack - Centre-Forward,36,01/07/2025,-,€700k,,,,,,,,
